Título,ISBN,Categoría
The Lion the Witch and the Wardrobe,9780064471046,Fantasía
Are You There Vodka? It's Me Chelsea,9781401307783,Humor
A Good Girl's Guide to Murder,9781984896391,Misterio
One Hundred Years of Solitude (Cien años de soledad),9780525562443,Realismo Mágico
I Know Why The Caged Bird Sings,9780345514400,Autobiografía
Harry Potter and the Deathly Hallows,9780545139700,Fantasía
The Man Who Was Thursday,9781659553758,Misterio
The Devil Wears Prada,9780767914765,Ficción Realista
The Hobbit,9780547928227,Fantasía
The Alchemist (O Alquimista),9784042750017,Fantasía
