Título,ISBN,Categoría
I Know Why The Caged Bird Sings,9780345514400,Autobiografía
Harry Potter and the Half-Blood Prince,9780439785969,Fantasía
I Know Why The Caged Bird Sings,9780345514400,Autobiografía
A Good Girl's Guide to Murder,9781984896391,Misterio
Harry Potter and the Deathly Hallows,9780545139700,Fantasía
You Can Heal Your Life,9780937611012,Autoayuda
She: A History of Adventure,9781519430144,Fantasía
Anne of Green Gables,9781840227840,Literatura Clásica
Watership Down,9780743277709,Literatura Clásica
The Hite Report,9781583225691,Feminismo
She: A History of Adventure,9781519430144,Fantasía
