Título,ISBN,Categoría
Harry Potter and the Philosopher's Stone,9780747532743,Fantasía
Harry Potter and the Philosopher's Stone,9780747532743,Fantasía
The Bridges of Madison County,9780446516525,Romance
Brave New World,9780060850524,Literatura Clásica
A Good Girl's Guide to Murder,9781984896391,Misterio
Harry Potter and the Order of the Phoenix,9780439358071,Fantasía
Harry Potter and the Half-Blood Prince,9780439785969,Fantasía
Heidi,9780147514028,Ficción Niños
Lolita,9780679723165,Literatura Rusa
The Common Sense Book of Baby and Child Care,9784871879699,Ayuda Paternidad
The Lion the Witch and the Wardrobe,9780064471046,Fantasía
