Título,ISBN,Categoría
Cloudy with a Chance of Meatballs,9780689707490,Culto clásico Infantil
Dream of the Red Chamber,9780451210463,Literatura Clásica
The Alchemist (O Alquimista),9784042750017,Fantasía
The Ginger Man,9780802144669,Ficción
A Good Girl's Guide to Murder,9781984896391,Misterio
The Lion the Witch and the Wardrobe,9780064471046,Fantasía
Harry Potter and the Deathly Hallows,9780545139700,Fantasía
The Little Prince,9780156012195,Fantasía
A Good Girl's Guide to Murder,9781984896391,Misterio
The Sun Also Rises,9781501121968,Novela Modernista
Watership Down,9780743277709,Literatura Clásica
The Hite Report,9781583225691,Feminismo
