Título,ISBN,Categoría
The Hobbit,9780547928227,Fantasía
Bury My Heart at Wounded Knee,9780805086843,Historia
Pride and Prejudice and Zombies,9781594743344,Ciencia Ficción
The Bridges of Madison County,9780446516525,Romance
Harry Potter and the Order of the Phoenix,9780439358071,Fantasía
A Good Girl's Guide to Murder,9781984896391,Misterio
Bury My Heart at Wounded Knee,9780805086843,Historia
Harry Potter and the Deathly Hallows,9780545139700,Fantasía
The Alchemist (O Alquimista),9784042750017,Fantasía
Black Beauty,9798411518177,Literatura Clásica
Harry Potter and the Deathly Hallows,9780545139700,Fantasía
